,RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,latitude,longitude
139,394372,140,"Beaumont, TX",msa,TX,21.0,21.0,22.0,20.0,16.0,14.0,17.0,16.0,30.0,24.0,30.0,40.0,40.0,32.0,30.0,27.0,34.0,24.0,29.0,34.0,32.0,22.0,36.0,43.0,74.0,30.0,29.0,33.0,37.0,19.0,26.0,23.0,44.0,28.0,28.0,29.0,35.0,17.0,25.0,12.0,14.0,12.0,10.0,15.0,23.0,14.0,19.0,30.0,19.0,14.0,13.0,14.0,11.0,12.0,17.0,18.0,28.0,26.0,27.0,39.0,51.0,37.0,24.0,20.0,15.0,30.0860459,-94.1018461
140,395096,141,"Shreveport, LA",msa,LA,,,,,,,,,,,,,,,,,,,,,,,,,114.0,97.0,51.0,76.0,52.0,71.0,47.0,46.0,35.0,33.0,59.0,39.0,44.0,18.0,13.0,8.0,7.0,9.0,10.0,10.0,14.0,12.0,14.0,24.0,20.0,15.0,12.0,6.0,7.0,8.0,9.0,14.0,15.0,11.0,20.0,28.0,30.0,24.0,13.0,11.0,14.0,32.4707862,-93.7559378
141,395164,142,"Trenton, NJ",msa,NJ,89.0,52.0,30.0,28.0,34.0,42.0,37.0,44.0,39.0,37.0,43.0,52.0,47.0,37.0,23.0,23.0,24.0,37.0,36.0,44.0,40.0,47.0,42.0,56.0,56.0,28.0,22.0,30.0,25.0,18.0,15.0,12.0,20.0,14.0,19.0,27.0,15.0,11.0,7.0,8.0,9.0,11.0,12.0,12.0,17.0,13.0,13.0,19.0,13.0,8.0,8.0,9.0,10.0,11.0,14.0,14.0,13.0,12.0,18.0,22.0,17.0,12.0,10.0,10.0,9.0,40.2205944,-74.7597219
142,394875,143,"Montgomery, AL",msa,AL,91.0,84.0,24.0,38.0,61.0,41.0,44.0,62.0,46.0,63.0,88.0,60.0,67.0,69.0,35.0,30.0,30.0,34.0,33.0,40.0,31.0,42.0,43.0,44.0,50.0,27.0,20.0,20.0,18.0,18.0,13.0,14.0,13.0,14.0,14.0,23.0,19.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,10.0,11.0,8.0,13.0,17.0,18.0,13.0,9.0,7.0,10.0,32.3669656,-86.3006485
143,394520,144,"Davenport, IA",msa,IL,83.0,57.0,20.0,19.0,22.0,22.0,25.0,25.0,32.0,30.0,50.0,56.0,62.0,73.0,36.0,20.0,19.0,27.0,26.0,29.0,28.0,35.0,49.0,60.0,53.0,52.0,24.0,25.0,20.0,21.0,24.0,16.0,15.0,15.0,16.0,25.0,22.0,20.0,10.0,5.0,5.0,6.0,7.0,9.0,11.0,16.0,17.0,25.0,29.0,10.0,7.0,5.0,5.0,6.0,7.0,8.0,8.0,10.0,15.0,22.0,19.0,12.0,7.0,6.0,6.0,41.5235808,-90.5770967
144,395146,145,"Tallahassee, FL",msa,FL,34.0,22.0,19.0,21.0,23.0,22.0,19.0,27.0,31.0,46.0,42.0,48.0,44.0,21.0,23.0,17.0,20.0,21.0,22.0,30.0,32.0,25.0,41.0,41.0,26.0,22.0,19.0,15.0,21.0,18.0,19.0,16.0,18.0,14.0,15.0,15.0,12.0,8.0,7.0,5.0,5.0,6.0,6.0,8.0,10.0,10.0,9.0,10.0,7.0,5.0,5.0,5.0,5.0,6.0,8.0,11.0,13.0,11.0,16.0,21.0,14.0,12.0,7.0,7.0,8.0,30.4380832,-84.2809332
145,394576,146,"Eugene, OR",msa,OR,22.0,14.0,8.0,7.0,8.0,9.0,13.0,15.0,23.0,24.0,27.0,34.0,29.0,14.0,12.0,7.0,8.0,10.0,11.0,11.0,15.0,19.0,21.0,25.0,13.0,9.0,6.0,10.0,11.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,6.0,6.0,6.0,6.0,7.0,13.0,16.0,12.0,14.0,18.0,29.0,24.0,11.0,8.0,9.0,7.0,44.0505054,-123.0950506
146,394901,147,"Naples, FL",msa,FL,75.0,61.0,71.0,68.0,70.0,68.0,66.0,71.0,78.0,61.0,58.0,70.0,75.0,77.0,68.0,79.0,87.0,86.0,84.0,84.0,80.0,55.0,61.0,74.0,73.0,57.0,61.0,69.0,80.0,73.0,58.0,53.0,53.0,36.0,36.0,36.0,34.0,21.0,12.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,7.0,10.0,16.0,23.0,28.0,29.0,31.0,25.0,27.0,29.0,26.0,27.0,29.0,35.0,26.1421976,-81.7942944
147,394332,148,"Ann Arbor, MI",msa,MI,29.0,10.0,7.0,6.0,7.0,10.0,13.0,14.0,25.0,26.0,39.0,35.0,29.0,17.0,10.0,8.0,12.0,14.0,20.0,19.0,33.0,30.0,34.0,56.0,57.0,29.0,14.0,30.0,14.0,16.0,20.0,18.0,34.0,22.0,20.0,39.0,34.0,6.0,5.0,5.0,5.0,5.0,7.0,18.0,27.0,25.0,14.0,15.0,17.0,5.0,4.0,5.0,5.0,6.0,7.0,12.0,15.0,13.0,20.0,25.0,17.0,8.0,7.0,5.0,5.0,42.2681569,-83.7312291
148,394927,149,"Ocala, FL",msa,FL,58.0,40.0,34.0,39.0,32.0,31.0,28.0,29.0,37.0,31.0,34.0,39.0,48.0,28.0,34.0,34.0,40.0,34.0,30.0,32.0,33.0,32.0,36.0,40.0,42.0,30.0,25.0,31.0,25.0,27.0,21.0,17.0,14.0,12.0,13.0,17.0,23.0,13.0,8.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,6.0,6.0,8.0,9.0,13.0,14.0,21.0,24.0,22.0,31.0,34.0,33.0,30.0,25.0,24.0,29.1871986,-82.1400923
